merchant_id,transaction_date,amount,customer_id
M000000,2024-11-20 18:30:27.363235,1533.2952628356675,C32
M000000,2024-11-02 18:30:27.363235,1663.0774351192017,C32
M000000,2024-11-19 18:30:27.363235,943.0053094268245,C32
M000000,2024-11-19 18:30:27.363235,1108.9311038831784,C32
M000000,2024-11-23 18:30:27.363235,1976.9891129383705,C32
M000000,2024-10-30 18:30:27.363235,1003.7766054914221,C32
M000000,2024-11-12 18:30:27.363235,1782.8384447885364,C32
M000000,2024-11-09 18:30:27.363235,1192.7394589329263,C32
M000000,2024-10-27 18:30:27.363235,1185.791956773384,C32
M000000,2024-11-19 18:30:27.363235,1136.9112494061872,C32
M000000,2024-11-23 18:30:27.363235,1150.292228943684,C32
M000000,2024-11-09 18:30:27.363235,1193.7094397493745,C54
M000000,2024-11-21 18:30:27.363235,1063.685984390549,C32
M000000,2024-10-26 18:30:27.363235,1596.6814766673156,C32
M000000,2024-11-09 18:30:27.363235,1156.6585568965506,C350
M000000,2024-11-06 18:30:27.363235,1304.4075640641004,C32
M000000,2024-10-29 18:30:27.363235,885.8835998705661,C32
M000000,2024-10-27 18:30:27.363235,1357.0335138347132,C32
M000000,2024-11-03 18:30:27.363235,754.2665086871004,C32
M000000,2024-10-26 18:30:27.363235,1177.7498356996477,C32
M000000,2024-11-02 18:30:27.363235,1556.3524941014869,C32
M000000,2024-10-30 18:30:27.363235,1013.3575158361173,C32
M000000,2024-11-06 18:30:27.363235,637.7938852341944,C32
M000000,2024-10-24 18:30:27.363235,739.2103604007536,C32
M000000,2024-11-05 18:30:27.363235,1075.656787747111,C32
M000000,2024-11-17 18:30:27.363235,1032.887106533197,C458
M000000,2024-10-30 18:30:27.363235,1149.0830872014287,C32
M000000,2024-11-02 18:30:27.363235,1408.931547630975,C4
M000000,2024-11-23 18:30:27.363235,850.7679375948018,C32
M000000,2024-11-02 18:30:27.363235,1630.2230739972376,C7
M000000,2024-11-20 18:30:27.363235,1169.234886922264,C32
M000000,2024-11-20 18:30:27.363235,1196.9825258410158,C32
